DEA,FE,SL,CS,CA,CR,IC
22.295,0.003108541,0.0696191,0.257457565,0.400402594,1.453845453,10.22641509
36.167,0.009096899,0.168695652,0.134434313,0.488115894,1.552885375,10.27102804
11.851,0.012708914,0.140062821,0.487743733,0.421346807,0.738292404,12.37260274
15.409,0.078603794,0.083186231,0.348053145,0.527849755,0.99227714,1.711284807
9.327,0.020186597,0.309929051,0.422260014,0.339091865,0.634646317,9.36150235
26.137,0.005566677,0.45073863,0.101441874,0.417849984,0.968706526,3.676427883
27.4,0.008197486,0.01097781,0.161788516,0.289130565,1.382768193,1.539648995
54.88,0.009266955,0.019615459,0.106985539,0.487214473,2.421829481,5.84529148
6.926,0.015725266,0.159736595,0.374797264,0.204642975,0.638570085,7.977578475
19.148,0.024794097,0.175337187,0.311684969,0.531595138,1.923203964,2.024221453
12.816,0.033114018,0.253381835,0.305030383,0.391694265,0.862140502,3.708376963
72.723,0.003803468,0.006185127,0.124330801,0.549204577,2.082299771,24.81899
21.827,0.062779904,0.022603951,0.283130181,0.419931773,1.589445367,2.287267445
9.591,0.014473428,0.377917654,0.277919891,0.264806745,0.900892106,14.86349984
16.106,0.024775838,0.02646086,0.214016045,0.268621101,0.934399118,7.357142857
10.83,0.039187228,0.098401598,0.242138365,0.264275562,1.014985015,2.682098765
24.138,0.020115266,0.092892257,0.244133568,0.507013391,1.029342483,6.32007458
10.872,0.060368172,0.085971324,0.397808263,0.418178961,1.861329042,0.044629641
22.393,0.010733972,0.203703704,0.219321149,0.442920417,1.783730159,4.189189189
7.767,0.021621108,0.406166636,0.510264487,0.341784314,0.681121658,7.431185944
17.038,0.060352996,0.111894777,0.168500169,0.220899418,1.988276782,1.492549228
12.067,0.01071216,0.150627615,0.170680421,0.155573011,1.178172943,11.13703704
40.811,0.013092632,0.032426623,0.158748243,0.53490471,1.446840905,8.583581681
90.642,0.000416369,0.005895796,0.133212361,0.677072564,2.519751745,406.7077577
45.117,0.007281389,0.036053832,0.120051945,0.433795949,1.435071367,8.840331071
